catg_id,cal_yr_num,qtr_of_yr_num,mnth_of_yr_num,mnth_of_qtr_num,site_promo_dsc_amt,holiday_ind,gms
220,2015,3,8,2,0.0,0,2688.39
220,2015,3,9,3,0.0,1,5720.4
220,2015,4,10,1,0.0,1,6590.93
220,2015,4,11,2,0.0,1,55068.43
220,2015,4,12,3,0.0,1,38620.21
220,2016,1,1,1,0.0,1,2484.39
220,2016,1,2,2,0.0,1,2940.23
220,2016,1,3,3,0.0,0,3188.7
220,2016,2,4,1,0.0,0,1859.69
220,2016,2,5,2,0.0,1,1269.67
220,2016,2,6,3,0.0,1,1850.48
220,2016,3,7,1,0.0,1,2411.47
220,2016,3,8,2,0.0,0,2861.1
220,2016,3,9,3,0.0,1,1309.68
220,2016,4,10,1,0.0,1,996.49
220,2016,4,11,2,0.0,1,3130.46
220,2016,4,12,3,0.0,1,6308.15
220,2017,1,1,1,0.0,1,1802.81
220,2017,1,2,2,0.0,1,2675.33
220,2017,1,3,3,0.0,0,3334.73
220,2017,2,4,1,0.0,0,1805.23
220,2017,2,5,2,0.0,1,2203.37
220,2017,2,6,3,0.0,1,1404.76
220,2017,3,7,1,0.0,1,2369.48
220,2017,3,8,2,0.0,0,1978.91
220,2017,3,9,3,0.02463658245361333,1,2110.52
220,2017,4,10,1,0.0,1,1036.83
220,2017,4,11,2,0.02529175042458279,1,7695.789999999999
220,2017,4,12,3,0.0,1,11307.4
220,2018,1,1,1,0.0,1,1082.63
220,2018,1,2,2,0.0,1,3387.41
220,2018,1,3,3,0.0,0,2823.64
220,2018,2,4,1,0.009351893197568326,0,2844.13
220,2018,2,5,2,0.0051614951540547675,0,4126.13
220,2018,2,6,3,0.0,1,4097.09
220,2018,3,7,1,0.0028464862017666863,0,2809.78
220,2018,3,8,2,0.0,0,2353.82
220,2018,3,9,3,0.011877904028289863,1,2188.77
220,2018,4,10,1,0.03622962430205171,0,1821.4099999999999
220,2018,4,11,2,0.07453156572051296,0,5725.99
220,2018,4,12,3,0.054513654903351666,1,4511.2
220,2019,1,1,1,0.018284761235955058,0,1367.04
220,2019,1,2,2,0.014292277535018584,0,979.48
220,2019,1,3,3,0.02592757236642894,0,3104.34
220,2019,2,4,1,0.0,0,955.54
220,2019,2,5,2,0.0,1,635.89
220,2019,2,6,3,0.03860347910908796,1,246.04000000000002
220,2019,3,7,1,0.0,1,539.75
220,2019,3,8,2,0.0,0,310.91
220,2019,3,9,3,0.025248935322773367,0,326.39
220,2019,4,10,1,0.012861921097770153,1,583.0
220,2019,4,11,2,0.054479037285275714,0,853.4200000000001
220,2019,4,12,3,0.029751420107568427,0,2251.59
220,2020,1,1,1,0.03225335371030735,1,883.3500000000001
220,2020,1,2,2,0.08171886124565046,1,997.23
220,2020,1,3,3,0.0,0,1768.05
220,2020,2,4,1,0.0,0,1823.14
220,2020,2,5,2,0.004453100326350142,1,1424.8500000000001
220,2020,2,6,3,0.0,1,580.6
220,2020,3,7,1,0.0,1,423.44
220,2020,3,8,2,0.0,0,215.47
244,2015,3,8,2,0.09064945178624302,0,8023572.82
244,2015,3,9,3,0.0864469713819872,1,18520579.11
244,2015,4,10,1,0.09097826799387965,1,20152358.58
244,2015,4,11,2,0.1100801898537735,0,26130965.47
244,2015,4,12,3,0.10195990491630653,1,18303979.75
244,2016,1,1,1,0.08287006826426813,1,20206921.39
